id,Rating,Review_No
x400_olive_a_modern_american_bistro,2.5,41
x4am_kitchen,4,4
x6_north_cafe,4,21
al_s_steak_house,3.5,58
angelo_s_taverna,3.5,95
anthony_s_bar,4,32
asia_gourmet,3.5,42
au_bon_pain,4,4
baileys_range,3.5,1470
bamboo_bistro,3.5,139
best_steak_house,3.5,102
big_daddy_s_on_the_landing,3,123
market_street_bistro_and_bar,3.5,24
bistro_14,3,6
blondie_s_coffee_wine_dessert,4,264
blood_sand,4.5,300
the_boom_boom_room,4,82
bootleggin_bbq,3.5,120
breakfast_lunch_tacos,4.5,164
brick_river_cider,4,115
bridge_tap_house_wine_bar,4,721
broadway_oyster_bar,4.5,1804
calecos_bar_grill,3,467
cardinals_nation,3,139
carmine_s_steak_house,4,223
carusos_deli,4.5,159
charlie_gitto_s_restaurant,3,402
chili_macs_diner,4,117
cinder_house,4,106
city_bar,4,75
column_s_lounge,2,5
dao_tien_bistro,4,37
delfino_s_pizza,2.5,54
delmar_chop_suey,4,10
dos_salas,3.5,2
drunken_fish,3.5,697
fiannery_s_irish_pub,3,137
good_buddy,4.5,50
gourmet_soul,4.5,26
hair_of_the_dog,4,97
hamburger_mary_s,3.5,91
hamilton_urban_steak_house,4.5,104
imo_s_pizza,2.5,107
imo_s_pizza_2,3,71
imo_s_pizza_3,2,70
jack_patrick_s_bar_grill,3.5,94
java_plus_cafe_catering,4,14
jazz_at_the_bistro,4,73
kiin_essentially_thai,4.5,71
kitchen_buffet,2.5,43
landry_s_seafood_house,2.5,237
last_kitchen,4,30
lombardo_s_trattoria,4.5,303
lucas_park_grille,3.5,240
maggie_o_brien_s_irish_pub,3.5,150
robie_s,3.5,23
mango,4,925
mas_tequila_cantina,4,74
maurizio_s_pizza_sports_bar,2.5,216
medina_grill,4.5,71
midwestern_meat_drink,4.5,265
mizu_sushi_bar,3.5,207
morgan_street_brewery_restaurant,3,280
morton_s_the_steakhouse,3.5,23
mound_city_sandwich_shop,4.5,11
mr_curry_s_india_restaurant,4,111
nara_cafe_hookah_lounge,3,58
nephews_downtown,3.5,29
old_spaghetti_factory,3,282
over_under_bar_grill,3.5,240
ozzie_s_burger_bar,2,55
paddy_o_s,4,63
pappy_s_smokehouse,4.6,3804
park_avenue_coffee,4,207
park_chop_suey,3.5,53
pi_pizzeria,4,514
pickles_deli,4.5,146
pop_s_fish_chicken,4.5,3
pw_pizza,4,288
red_kitchen_bar,3.5,54
rooster,3.5,659
rosalitas_cantina,3.5,491
ruth_s_chris_steak_house,3.5,164
samwiches,4,14
sapporo,4,195
sauce_on_the_side,4.5,404
schlafly_tap_room,4,646
sen_thai_asian_bistro,4,119
sliced_pint,3.5,153
smoki_o_s,4,116
snarf_s_sandwiches,4,72
snarf_s_sandwiches_2,4,200
southern,4.5,562
station_grille_st_louis_union,1,1
planet_sub,4,49
sugarfire_smokehouse_barbeque,4.5,937
sushi_ai,3.5,286
switchlist_restaurant,5,3
syberg_s,3,98
the_pepper_lounge,3,49
three_sixty,4,630
tigin_irish_pub,4,270
tony_s,4,189
triumph_grill,3.5,193
village_cafe,3.5,70
vin_de_set_rooftop_bar_bistro,3.5,432
vito_s_sicilian_pizzeria,3.5,236
washington_avenue_bistro,3,1
white_knight_diner,4,85
wok,2,11
yiro_gyro,4,50
zenia,2.5,12
