id,Restaurant,Address,City,State,ZIP_Code,Phone_Number,Type,Lat,Long
x400_olive_a_modern_american_bistro,400 Olive A Modern American Bistro,400 Olive St,Saint Louis,Missouri,63102,(314) 554-7092,American cuisine,38.627319,-90.188322
x4am_kitchen,4am Kitchen,1405 Washington Ave,Saint Louis,Missouri,63103,(314) 300-8422,American cuisine,38.6327,-90.199756
x6_north_cafe,6 North Cafe,701 Market St # 50,Saint Louis,Missouri,63101,(314) 241-4333,Café,38.62619,-90.192245
al_s_steak_house,Al's Steak House,1200 N 1st St,Saint Louis,Missouri,63102,(314) 421-6399,Steak house,38.635459,-90.182377
angelo_s_taverna,Angelo's Taverna,316 Market St,Saint Louis,Missouri,63102,(314) 588-9000,Italian cuisine,38.62469,-90.18861
anthony_s_bar,Anthony's Bar,10 S Broadway # 150,Saint Louis,Missouri,63102,(314) 231-7007,Italian cuisine,38.624847,-90.189597
asia_gourmet,Asia Gourmet,412 N Tucker Blvd,Saint Louis,Missouri,63101,(314) 436-0823,Chinese cuisine,38.630825,-90.196648
au_bon_pain,Au Bon Pain,701 Convention Plz,Saint Louis,Missouri,63101,(314) 342-5157,Café,38.631021,-90.190934
baileys_range,Baileys' Range,920 Olive St,Saint Louis,Missouri,63101,(314) 241-8121,Burger restaurant,38.628878,-90.194513
bamboo_bistro,Bamboo Bistro,214 N 4th St,Saint Louis,Missouri,63102,(314) 241-8884,Asian fusion,38.627034,-90.187386
best_steak_house,Best Steak House,516 N Grand Blvd,Saint Louis,Missouri,63103,(314) 535-6033,Steak house,38.63858,-90.231526
big_daddy_s_on_the_landing,Big Daddy's On The Landing,118 Morgan St,Saint Louis,Missouri,63102,(314) 621-6700,Bar,38.630639,-90.18393
market_street_bistro_and_bar,Market Street Bistro and Bar,2340 Market St,Saint Louis,Missouri,63103,(314) 241-9111,Bistro,38.629892,-90.2146
bistro_14,Bistro 14,400 S 14th St,Saint Louis,Missouri,63103,(314) 231-5007,Bistro,38.624208,-90.202072
blondie_s_coffee_wine_dessert,Blondie's Coffee Wine-Dessert,1301 Washington Ave,Saint Louis,Missouri,63103,(314) 241-6100,Coffee shop,38.632428,-90.198489
blood_sand,Blood & Sand,1500 Saint Charles St,Saint Louis,Missouri,63103,(314) 241-7263,American cuisine,38.631983,-90.201332
the_boom_boom_room,The Boom Boom Room,1229 Washington Ave,Saint Louis,Missouri,63103,(314) 436-7000,Dinner theater,38.63231,-90.19791
bootleggin_bbq,Bootleggin BBQ,1933 Washington Ave,Saint Louis,Missouri,63103,(314) 241-5999,Barbeque,38.6342,-90.2069
breakfast_lunch_tacos,Breakfast Lunch Tacos,626 N 6th St,Saint Louis,Missouri,63101,(314) 925-8505,Breakfast and Brunch,38.630904,-90.188961
brick_river_cider,Brick River Cider,2000 Washington Ave,Saint Louis,Missouri,63103,(314)224-5046,Bar,38.6329798,-90.2097723
bridge_tap_house_wine_bar,Bridge Tap House & Wine Bar,1004 Locust St,Saint Louis,Missouri,63101,(314) 241-8141,Bar,38.629737,-90.194618
broadway_oyster_bar,Broadway Oyster Bar,736 S Broadway,Saint Louis,Missouri,63102,(314) 621-8811,Bar,38.618837,-90.192408
calecos_bar_grill,Calecos Bar & Grill,101 N Broadway,Saint Louis,Missouri,63102,(314) 421-0708,Bar,38.626743,-90.19013
cardinals_nation,Cardinals Nation,601 Clark Ave # A,Saint Louis,Missouri,63102,(314) 345-9880,Pub,38.624296,-90.192295
carmine_s_steak_house,Carmine's Steak House,20 S 4th St,Saint Louis,Missouri,63102,(314) 241-1631,Steak house,38.624397,-90.188699
carusos_deli,Carusos Deli,1000 Washington Ave # 101,Saint Louis,Missouri,63101,(314) 588-1096,Deli,38.630978,-90.194495
charlie_gitto_s_restaurant,Charlie Gitto's Restaurant,207 N 6th St,Saint Louis,Missouri,63101,(314) 436-2828,Italian cuisine,38.627603,-90.190713
chili_macs_diner,Chili Macs Diner,510 Pine St,Saint Louis,Missouri,63101,(314) 421-9040,Diner,38.626743,-90.19013
cinder_house,Cinder House,999 N 2nd St,Saint Louis,Missouri,63102,(314) 881-5759,Latin American Cuisine,38.632865,-90.1841
city_bar,City Bar,1137 Washington Ave,Saint Louis,Missouri,63101,(314) 328-2280,Bar,38.631865,-90.195678
column_s_lounge,Column's Lounge,400 S 14th St,Saint Louis,Missouri,63103,(314) 231-5007,Bar,38.624208,-90.202072
dao_tien_bistro,Dao Tien Bistro,820 Olive St,Saint Louis,Missouri,63101,(314) 405-8868,Vietnamese cuisine,38.628426,-90.193358
delfino_s_pizza,Delfino's Pizza,1131 Washington Ave,Saint Louis,Missouri,63101,(314) 260-9094,Pizza,38.631975,-90.196211
deli_enterprise,Deli Enterprise,430 S 15th St,Saint Louis,Missouri,63103,(314) 621-5999,Deli,38.624811,-90.203637
delmar_chop_suey,Delmar Chop Suey,3336 Delmar Blvd,Saint Louis,Missouri,63103,(314) 535-4445,Chinese cuisine,38.639516,-90.226938
dos_salas,Dos Salas,1919 Washington Ave,Saint Louis,Missouri,63103,(314)405-2824,Lounge,38.6329798,-90.2097723
drunken_fish,Drunken Fish,727 N 1st St # 210,Saint Louis,Missouri,63102,(314) 241-9595,Japanese cuisine,38.63051,-90.183538
fiannery_s_irish_pub,Fiannery's Irish Pub,1324 Washington Ave,Saint Louis,Missouri,63103,(314) 241-8885,Pub,38.631985,-90.199274
good_buddy,Good Buddy,1115 Pine St,Saint Louis,Missouri,63101,(314) 300-8686,Sandwich shop,38.628867,-90.19612
gourmet_soul,Gourmet Soul,1620 Delmar Blvd,Saint Louis,Missouri,63103,(314) 339-5658,Soul food restaurant,38.634214,-90.202217
hair_of_the_dog,Hair Of The Dog,1212 Washington Ave,Saint Louis,Missouri,63103,(314) 241-3644,Bar,38.631611,-90.197518
hamburger_mary_s,Hamburger Mary's,400 Washington Ave,Saint Louis,Missouri,63102,(314) 833-4000,Dinner theater,38.62948,-90.187406
hamilton_urban_steak_house,Hamilton Urban Steak House,2101 Chouteau Ave,Saint Louis,Missouri,63103,(314) 241-2333,Steak house,38.621683,-90.213603
imo_s_pizza,Imo's Pizza,1 S Broadway,Saint Louis,Missouri,63102,(314) 421-1776,Pizza,38.6252,-90.191028
imo_s_pizza_2,Imo's Pizza,1701 Delmar Blvd,Saint Louis,Missouri,63103,(314) 241-6000,Pizza,38.635006,-90.202852
imo_s_pizza_3,Imo's Pizza,904 S 4th St,Saint Louis,Missouri,63102,(314) 421-4667,Pizza,38.618048,-90.191023
jack_patrick_s_bar_grill,Jack Patrick's Bar & Grill,1000 Olive St,Saint Louis,Missouri,63101,(314) 436-8879,Bar,38.62897,-90.194879
java_plus_cafe_catering,Java Plus Cafe & Catering,211 N Broadway # 150,Saint Louis,Missouri,63102,(314) 479-9599,Café,38.627514,-90.189823
jazz_at_the_bistro,Jazz At The Bistro,3536 Washington Ave,Saint Louis,Missouri,63103,(314) 571-6000,American cuisine,38.638691,-90.231223
kiin_essentially_thai,Kiin Essentially Thai,550 N 7th St,Saint Louis,Missouri,63101,(314) 571-9894,Thai cusine,38.63021,-90.190394
kitchen_buffet,Kitchen Buffet,999 N 2nd St,Saint Louis,Missouri,63102,(314) 881-7777,Buffet restaurant,38.632865,-90.1841
landry_s_seafood_house,Landry's Seafood House,1820 Market St # 350,Saint Louis,Missouri,63103,(314) 231-4040,Seafood restaurant,38.6292,-90.207245
last_kitchen,Last Kitchen,1501 Washington Ave,Saint Louis,Missouri,63103,(314) 390-2500,American cuisine,38.6315,-90.2123
lombardo_s_trattoria,Lombardo's Trattoria,201 S 20th St,Saint Louis,Missouri,63103,(314) 621-0666,Italian cuisine,38.62801,-90.210467
lucas_park_grille,Lucas Park Grille,1234 Washington Ave,Saint Louis,Missouri,63103,(314) 241-7770,American cuisine,38.631738,-90.198117
maggie_o_brien_s_irish_pub,Maggie O'Brien's Irish Pub,2000 Market St,Saint Louis,Missouri,63103,(314) 421-1388,Pub,38.629675,-90.209649
robie_s,Robie's,421 N 8th St,Saint Louis,Missouri,63101,(314) 436-9000,American cuisine,38.63004,-90.192169
mango,Mango,1001 Washington Ave,Saint Louis,Missouri,63101,(314) 621-9993,Peruvian cuisine,38.631524,-90.193967
mas_tequila_cantina,Mas Tequila Cantina,708 N 2nd St,Saint Louis,Missouri,63102,(314) 877-1700,Mexican cuisine,38.630288,-90.184177
maurizio_s_pizza_sports_bar,Maurizio's Pizza & Sports Bar,220 S Tucker Blvd,Saint Louis,Missouri,63102,(314) 621-1997,Pizza,38.625391,-90.19843
medina_grill,Medina Grill,1327 Washington Ave,Saint Louis,Missouri,63103,(314) 241-1356,Mediterranean cuisine,38.63249,-90.199262
midwestern_meat_drink,Midwestern Meat & Drink,900 Spruce St,Saint Louis,Missouri,63102,(314) 696-2573,American cuisine,38.623124,-90.196205
mizu_sushi_bar,Mizu Sushi Bar,1013 Washington Ave,Saint Louis,Missouri,63101,(314) 621-2646,Japanese cuisine,38.631344,-90.193972
morgan_street_brewery_restaurant,Morgan Street Brewery & Restaurant,721 N 2nd St,Saint Louis,Missouri,63102,(314) 231-9970,Pub,38.63025,-90.184854
morton_s_the_steakhouse,Morton's The Steakhouse,999 N 2nd St,Saint Louis,Missouri,63102,(314) 725-4008,Steak house,38.632865,-90.1841
mound_city_sandwich_shop,Mound City Sandwich Shop,2906 Market St,Saint Louis,Missouri,63103,(314) 652-3354,Sandwich shop,38.630786,-90.222037
mr_curry_s_india_restaurant,Mr Curry's India Restaurant,612 Olive St,Saint Louis,Missouri,63101,(314) 241-2877,Indian cuisine,38.628035,-90.190863
nara_cafe_hookah_lounge,Nara Cafe & Hookah Lounge,1326 Washington Ave,Saint Louis,Missouri,63103,(314) 588-0051,Mediterranean cuisine,38.632024,-90.199461
nephews_downtown,Nephews Downtown,742 S 4th St,Saint Louis,Missouri,63102,(314) 241-5960,American cuisine,38.618763,-90.191402
old_spaghetti_factory,Old Spaghetti Factory,727 N 1st St,Saint Louis,Missouri,63102,(314) 621-0276,Italian cuisine,38.63051,-90.183538
over_under_bar_grill,Over/Under Bar & Grill,911 Washington Ave,Saint Louis,Missouri,63101,(314) 621-8881,Bar,38.63146,-90.19317
ozzie_s_burger_bar,Ozzie's Burger Bar,999 N 2nd St,Saint Louis,Missouri,63102,(314) 881-7595,Burger restaurant,38.632865,-90.1841
paddy_o_s,Paddy O's,618 S 7th St,Saint Louis,Missouri,63102,(314) 588-7313,Bar,38.620893,-90.193989
pappy_s_smokehouse,Pappy's Smokehouse,3106 Olive St,Saint Louis,Missouri,63103,(314) 535-4340,Barbeque,38.635165,-90.22403
park_avenue_coffee,Park Avenue Coffee,417 N 10th St,Saint Louis,Missouri,63101,(314) 231-5282,Coffee shop,38.630454,-90.194419
park_chop_suey,Park Chop Suey,1321 Chouteau Ave,Saint Louis,Missouri,63103,(314) 436-2248,Chinese cuisine,38.619447,-90.203416
pi_pizzeria,Pi Pizzeria,610 Washington Ave,Saint Louis,Missouri,63101,(314) 588-7600,Pizza,38.630108,-90.189835
pickles_deli,Pickles Deli,200 N Broadway # 110,Saint Louis,Missouri,63102,(314) 241-2255,Deli,38.627293,-90.188867
pop_s_fish_chicken,Pop's Fish & Chicken,1330 Washington Ave,Saint Louis,Missouri,63103,(314) 282-0920,American cuisine,38.632024,-90.199461
pw_pizza,Pw Pizza,2017 Chouteau Ave # 1,Saint Louis,Missouri,63103,(314) 241-7799,Pizza,38.621342,-90.21291
